tweet_id,athlete_display_name,raw_content,gold_sentiment,final_sentiment,agreement_status
354907423514955779,Vijender Singh,"@ten_sports Vijender singh because he is the best boxer in india.!! won medals for us at Asiads, Commonwealth and olympic games #YoungRising",positive,positive,full_agreement
1454447935819706368,Virat Kohli,"@rpsingh Rohit Sharma
Ishan Kishan
Virat Kohli
KL Rahul
Rishabh pant
Hardik Pandya
Ravindra Jadeja
Shardul Thakur
Mohammed Shami
Jasprit bumrah
Ravichandran Ashwin",neutral,neutral,full_agreement
1672126327460343809,Sakshi Malik,@MediaHarshVT @SakshiMalik @Phogat_Vinesh @BajrangPunia Dange ka aroopi hi banaya hua h 3 saal se faansi ki saza kyon nahi sunate .. ya bas naam lene k liye rakha hua,negative,negative,full_agreement
1674072267943211009,Sakshi Malik,@SakshiMalik Pahlwan jinhe trial se choot mili hai na kaun si seat se election ladegi aap ji,negative,negative,majority_agreement
1673246782791520257,Sakshi Malik,"#SakshiMalik #VineshPhogat
#BajrangPunia की पोल खुलने के बाद अपना आंदोलन खत्म कर दिया,
साफ है ये कांग्रेस के इशारे पर काम कर रहे थे.

#WrestlersProtest https://t.co/xX1lwKruiS",negative,negative,full_agreement
319696929766395905,Vijender Singh,"Vijender Singh might be questioned again: Punjab Police: Boxing icon Vijender Singh, accused of using heroin, ... http://t.co/GiHxSDwR7X",negative,negative,full_agreement
892382978478886912,Harmanpreet Kaur,Did You Know That Harmanpreet Kaur Wears Jersey No. 84 In Solidarity With The Victims Of The 1984 Riots?  https://t.co/z9isyOsbW6,positive,positive,majority_agreement
1454491977291083776,Virat Kohli,"टी20 क्रिकेट विश्वकप : मोहम्मद शमी वाले मुद्दे पर जमकर बरसे कप्तान कोहली, आलोचना करने वाले लोगों को बताया ‘स्पाइनलेस’    #T20WC #cricket #Teamindia #virat #kohli #shami #INDvsPAK #INDvsNZ    https://t.co/moDljXpgqR",positive,positive,full_agreement
555677360360394752,Sarita Devi,"Sachin Tendulkar meets Sarita Devi, presents her autographed jersey http://t.co/fC75cs5jzo",positive,positive,majority_agreement
1454471710703452163,Virat Kohli,"That is why he has achieved heights in cricket,born great virat Kohli. 
Attacking someone over their religion is the most pathetic thing to do: Kohli

Click here to view more : https://t.co/F6CJ9ejDDn",positive,positive,full_agreement
888991242461126656,Harmanpreet Kaur,I went to Gurudwara &amp; prayed for India's win. Firmly believe India will win: Father of cricketer Harmanpreet Kaur #ICCWomensWorldCup2017 https://t.co/hY8exmwloV,positive,positive,full_agreement
546223582062198784,Sarita Devi,Sarita Devi was not given a big penalty: Vijender Singh http://t.co/mfOgQCjBW1,positive,positive,majority_agreement
1394618404816834563,Sushil Kumar,"Delhi Court rejects Olympic wrestler Sushil Kumar's anticipatory bail plea in the alleged murder of fellow wrestler Sagar Rana. A non-bailable warrant has been issued against Kumar by the Delhi police, who's evaded arrest since the murder. 

#Delhi #SushilKumar https://t.co/hqM906zzJI",negative,negative,full_agreement
1672638477534629888,Sakshi Malik,@Shailendra97S @Phogat_Vinesh @BajrangPunia @SakshiMalik Panchayat me kaun ayega Rakesh tikait 🤣🤣🤣wo insaaf krega ab 😃😃,negative,negative,majority_agreement
892679903073755136,Harmanpreet Kaur,Do you Know Harmanpreet Kaur Played 171 run knock with one hand? https://t.co/FIOuSZzZUc https://t.co/rE5H6SLz1t,positive,positive,full_agreement
1439063504082796546,Sushil Kumar,"@crpfindia Not Saheed SI Sunil kumar verma
It is Saheed SI Sushil Kumar verma",negative,negative,majority_agreement
320451890032820224,Vijender Singh,Vijender Singh dropped from tournaments in Cyprus and Cuba http://t.co/tlatEdFYhy http://t.co/Uxk7AMY3LE,negative,negative,full_agreement
1454430384129822725,Virat Kohli,"#Cricket | India skipper Virat Kohli has insisted that his batting order will have to be motivated to counter New Zealand pacer Trent Boult's left-arm swing

#T20WorldCup

https://t.co/4SQdlhMxVu",positive,positive,majority_agreement
888954834430418944,Harmanpreet Kaur,Everything Sharda Ugra writes is luminous and this piece on #HarmanPreetKaur doubly so. Go read. https://t.co/00ekj70rZQ,positive,positive,full_agreement
319465821984415744,Vijender Singh,"^~^ Vijender Singh's samples taken for tests, boxer Ram Singh arrested  |",negative,negative,full_agreement
537383051076984832,Sarita Devi,"#SaritaDevi has to borrow $500 to pay fee to lodge protest at Asian games,IOA officials look the other way. Why are they there then?Junket?",negative,negative,tie
534546347450712064,Sarita Devi,the Whole of India were Against when someone said that she does not know Sachin. What are we going to do for #saritadevi,positive,positive,majority_agreement
319476794153644032,Vijender Singh,"^~^ Vijender Singh gives samples for dope tests, boxer Ram Singh arrested  |",negative,negative,full_agreement
1454488777242685442,Virat Kohli,"@bhak_sala @coolfunnytshirt Now, it's between Rana Ayyub and Virat Kohli. Modi is in distant third to get Nobel Peace prize. 

https://t.co/FsAQJQxZbx",negative,negative,majority_agreement
1454418936632537088,Virat Kohli,#ViratKohli #mohammadshami #T20WorldCup https://t.co/LOVD1bpDsP,neutral,neutral,majority_agreement
1774119399143694422,Harmanpreet Kaur,"💬🇩🇪 Do you want to #LearnGerman?

❗💡 Here's everything you need to know about:

👍 Tips for learning
💬 German you need ...
🏗️ 📘 ... at work or at university ...

... and all kinds of different German #vocabulary.

#GermanLanguage #Languagelearning
https://t.co/MK3O1GAPWn",neutral,neutral,full_agreement
1441026948281475081,Sushil Kumar,"सोयाबीन आयात करून केंद्र सरकारचा (मोदींचा) मास्टरस्ट्रोक
शेतकऱ्यांवर केली भली मोठी सर्जिकल स्ट्राईक...

11000 वरून 5000 वर तेही 3000 वर लवकरच जाईल

How's the josh 😡😡

#सोयाबीन",negative,negative,full_agreement
321209523941568513,Vijender Singh,#Indian #SuryaRay Vijender Singh's test report to come by Friday: The blood and urine tests may... http://t.co/u147t4XQGq #Indian @SuryaRay,negative,negative,majority_agreement
1454451307532546061,Virat Kohli,Attacking someone over religion is most pathetic: Virat Kohli on online trolling of Mohammed Shami https://t.co/ZJyo7MVKEP,positive,positive,majority_agreement
1454155886310555648,Virat Kohli,@ManUtd @masongreenwood you need virat kohli as a captain to win trophies,positive,positive,full_agreement
319669240254832641,Vijender Singh,India Olympic boxer takes dope test: India's Olympics medal-winning boxer Vijender Singh takes a dope test aft... http://t.co/UbOxhOZSiK,negative,negative,majority_agreement
1454448414482108422,Virat Kohli,@Imrahul19Gupta @CricCrazyJohns What power exactly will you show sir...power of negativity..slow claps..sports are meant to be for both winning and loosing just like our life #ViratKohli Grow up and stop spreading negativity,positive,positive,majority_agreement
888667001089949696,Harmanpreet Kaur,Harmanpreet Kaur's knock brings a fresh lease of life in Moga https://t.co/m5kOaKl6H7,positive,positive,full_agreement
1454579850191069188,Virat Kohli,@darshanpathak Look on the brighter side #ViratKohli is on his way out. Thank goodness for that 😮‍💨! #T20WorldCup,positive,positive,majority_agreement
1445413403615318018,Sushil Kumar,@TheAngryHindu1 Please don't say mar ... Tumhare ghar k paise se to drug nhi le rha na .. u guys r pretending ki kisi ka murder kiya hai isne ... Tune aisa photo Sushil Kumar k liye kyun share nhi kiya ? #AryanKhan #ShahRukhKhan,negative,negative,full_agreement
1454330818747269124,Virat Kohli,"#T20WorldCup : पाकिस्तान ने शुक्रवार को दुबई में खेले गए #PakvsAfg मुकाबले में जीत दर्ज कर सीरीज़ में लगातार तीसरी जीत अपने नाम की। इस जीत में कप्तान #BabarAzam ने 51 रन बनाए और भारतीय कप्तान #ViratKohli का रिकॉर्ड तोड़ते हुए टी20 इंटरनेशनल में 1000 रन पूरे किए।
#NewsTakCard https://t.co/2kyJV19kRz",positive,positive,majority_agreement
1674077645028605952,Sakshi Malik,@SakshiMalik लेकिन जब किसी दलित लङकी का रेप मुस्लिम करता तो आपके रावण भाई के मुंह में दही जम जाता है।,negative,negative,full_agreement
1673726982448721920,Sakshi Malik,"#WrestlerProtests : रेसलर बबीता फोगाट ने पहलवानों के आरोप पर दिया बयान..

#babitaphogat #SakshiMalik #bajrangpunia #JantaTv https://t.co/b7epzPmWGB",neutral,neutral,tie
319862451535507456,Vijender Singh,Vijender Singh's row: ED registers money laundering case in Punjab drug haul  http://t.co/a6M69nPZqq,negative,negative,full_agreement
531092063178067969,Sarita Devi,"#ndtv Pinki Rani Replaces Mary Kom, Priyanka Choudhary in for Sarita Devi for World Boxing Championships: Sari... http://t.co/8QX4SFT8Rk",negative,negative,majority_agreement
1674349100995674112,Sakshi Malik,"बुधवार की शाम भीम आर्मी चीफ चंद्रशेखर आजाद पर हुए हमले के बाद देश के पहलवानों ने भी अपना गुस्सा जाहिर किया है। देखें पहलवान बजरंग पूनिया और साक्षी मलिक ने ट्वीट कर क्या कुछ कहा है।
#ChandrashekharAzad #BajrangPunia #SakshiMalik https://t.co/if3BPGH7Db",positive,positive,majority_agreement
318638567679221760,Vijender Singh,"Vijender Singh's career may nosedive, feel experts http://t.co/CUU5wygpOG",negative,negative,full_agreement
1454023809988583425,Virat Kohli,"Now Virat Kohli is becomes 3rd Most Followed Sports Personality on Instagram in the World.

#ViratKohli the brand of Cricket 😎🔥 n the proud of India 

World Most popular person from India 😍🙆🏻‍♂️

@imVkohli love you ❤
#Virat https://t.co/jcBhcXMnzM",positive,positive,full_agreement
542745456996917248,Sarita Devi,AIBA suspends Indian boxer Sarita Devi for refusing Asiad medal http://t.co/h055NYyvs8,negative,negative,full_agreement
1454524843576025091,Virat Kohli,"@TrendVirat @virat_holics Repeat After Me.

""We Stand With Virat Kohli""

#DiwaliAsPerViratKohli",positive,positive,full_agreement
1453911795131826179,Virat Kohli,"@ramitSharma18 @Imro_fanclub @ImRo45 our favourite journalist and author and   writer of the hitman: the virat kohli story and more , @vijaylokapally",positive,positive,full_agreement
1398316965517688835,Sushil Kumar,The law student had alleged that Sushil Kumar's career and reputation has been damaged by the media's reporting of the case against him in connection with the Chhatrasal Stadium brawl that led to the death of the 23-year-old wrestler.,negative,negative,full_agreement
1673850539141136384,Sakshi Malik,@BajrangPunia @Phogat_Vinesh @SakshiMalik @RakeshTikaitBKU सभी को देश के लोगों को बेवकूफ बनाने पर,negative,negative,full_agreement
