raw_content,gold,xlm_pred,mbert_pred,vader_trans,error_cats
"Ise kehte hai nada dhila ho jana""@PTI_News: Sports Ministry asks NADA to carry out test on boxer Vijender Singh.""",negative,neutral,negative,neutral,other
WATCH: Harmanpreet Kaur ramps up seven outrageous sixes enroute to her unbeaten 171 vs Australia https://t.co/qBuo0NhaQZ,positive,negative,negative,negative,other
Video shoot of Pappu 😂🤭 https://t.co/jjDz9AzrXw,neutral,neutral,positive,positive,emoji_dependent
Suspension of Sarita Devi has created grave concern among people of my country &amp; sportspersons: Sports Min Sarbananda Sonowal writes to AIBA,positive,negative,negative,negative,other
"#WrestlerProtest | The Rouse Avenue Court in Delhi to hear the case on the charge sheet filed in the #BrijBhushanSharanSingh matter on Tuesday.

Click on the 🔗 to read more: https://t.co/rkKzfq5gxe

#WFI #SakshiMalik #protest #DelhiPolice #ABPLive https://t.co/AuaBoGruYu",negative,neutral,negative,negative,emoji_dependent|long_complex
"@crpfindia Not Saheed SI Sunil kumar verma
It is Saheed SI Sushil Kumar verma",negative,neutral,negative,neutral,other
"Cricketer Harmanpreet Kaur as DSP of Punjab Police: Captain

Chandigarh:The Punjab cabinet on Thursday approved th… https://t.co/U1oBCAPHoH https://t.co/u9a719O1oK",positive,neutral,negative,positive,other
"Sushil Kumar biography: 13 things about Indian wrestler born in Baprola, Najafgarh, Delhi https://t.co/P3QQJ7WeyJ",neutral,neutral,positive,neutral,other
"I appeal to the entire country to be behind suspended boxer Sarita Devi: Sachin Tendulkar

http://t.co/9VZl3vB3Nl",positive,neutral,negative,negative,other
"Wrestler Sushil Kumar, wanted in a murder case, arrested by Delhi Police https://t.co/jshqSY5E8T",negative,neutral,negative,negative,other
"That is why he has achieved heights in cricket,born great virat Kohli. 
Attacking someone over their religion is the most pathetic thing to do: Kohli

Click here to view more : https://t.co/F6CJ9ejDDn",positive,negative,negative,negative,long_complex
World cup to hara h humne pr me to uske sath apna dil bi haar gya #HarmanPreetKaur ne Dil chura liya By 171* nd 51 . Love u kaur ji,positive,positive,negative,positive,other
"31 अक्टूबर को खेला जाएगा अहम मुकाबला
#T20WC #INDvsNZ #ViratKohli
https://t.co/iQP4ZA11CN",neutral,neutral,positive,positive,code_mixed
#BreakingNow - Boxer Vijender Singh's samples test negative for heroin. NADA had conducted heroin test on Vijender,positive,negative,negative,negative,other
India Olympic boxer takes dope test: India's Olympics medal-winning boxer Vijender Singh takes a dope test after charges that he took...,neutral,positive,negative,negative,neutral_misclassified
"When I first heard Vijender Singh was linked to 130 kg heroin, i thought it was Sonakshi Sinha. Later I realised it was heroin not heroine!!",positive,neutral,negative,negative,other
@umang_g @PradipG05843542 @bidishapsgs @SakshiMalik @Phogat_Vinesh Lot of factors to come to thus decision by them,neutral,neutral,positive,neutral,other
"* Will Hardik Pandya be persisted with? 
* Will Shardul Thakur, Ishan Kishan and Ravichandran Ashwin get a game?

#ViratKohli #INDvNZ  #NewZealand #KaneWilliamson #HardikPandya #Shardulthakur #T20WorldCup #T20WorldCup21 #CricketTwitter 

https://t.co/WEtzAmY4t7",neutral,neutral,negative,neutral,other
A little bit late IMO. RT @FirstpostSports: Sports Minister pleads with AIBA to revoke Sarita Devi ban http://t.co/JxETKvj4C5,positive,neutral,neutral,negative,other
@UPTakOfficial @SakshiMalik Ye to social  media se break le rahe the 😂😂,negative,neutral,negative,neutral,emoji_dependent
"#INDvENG #WWC17 

England should avoid bowling spin to Harmanpreet Kaur, says Nasser Hussain

https://t.co/gL8j1ovX45",positive,neutral,negative,negative,other
"Delhi Police has announced a reward of Rs. 1 Lakh for the information of Wrestler Sushil kumar.
@DelhiPolice @police_haryana @BJP4India @INCIndia #olmypics #wrestler #murder @AAPDelhi #games https://t.co/41upNSoV0y",negative,neutral,negative,negative,other
"🚆 Exciting news for travelers! Introducing IRCTC HDFC Bank Credit Card 🎫

Apply Here: https://t.co/PAWHUsZ0LE
💳 Welcome voucher worth Rs 500 on activation
🎟️ 5 Reward points for every Rs 100 spent on IRCTC & Rail Connect App
💰 Extra 5% Cashback on train ticket bookings via HDFC Bank SmartBuy
🔗 Link your Credit Card to UPI for seamless transactions! #IRCTC #HDFCBank #CreditCard #TravelRewards 🛤️🎉",neutral,neutral,positive,positive,emoji_dependent|long_complex
"#WrestlerProtests : रेसलर बबीता फोगाट ने पहलवानों के आरोप पर दिया बयान..

#babitaphogat #SakshiMalik #bajrangpunia #JantaTv https://t.co/b7epzPmWGB",neutral,neutral,negative,neutral,code_mixed
"Avoid Bowling Spin To Harmanpreet Kaur, Nasser Hussain Advises England - https://t.co/wkopVxT1U1 https://t.co/szJHYFF1er",neutral,neutral,negative,negative,sarcasm_irony
"My suggestion ""drop mahi"" and let Virat Kohli play his natural game and captiancy style. The agression was missing in the last match. We need that to win matches. #INDvNZ #Dhoni #ViratKohli",positive,negative,negative,positive,long_complex
@Aakar__Patel @imVkohli Virat Kohli speaking starts a news cycle too. Shammi wont be complaining.,negative,neutral,positive,positive,other
Harmanpreet Kaur likely to miss Kia Super League in England due to a shoulder injury… https://t.co/MvZo03vyJL,negative,negative,neutral,negative,other
The #VijenderSingh case once again exposes the financial disparity in Indian sport. If he were a cricketer he could have afforded cocaine:-7,negative,negative,positive,negative,other
"Now that’s called captaincy and leadership. Strong and clear, no nonsense statement in support of Md Shami. That’s how you shut down a communal narrative.   #ViratKohli",positive,negative,positive,positive,other
"This remind me the words of the then HM. hon sushil kumar shinde
""Safron terrorism"" This is the perfect example",negative,positive,positive,negative,other
